country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","20-07-2026 15:00:00",28.594169,77.1251,NO2,6,19,11
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","20-07-2026 15:00:00",28.594169,77.1251,SO2,0,2,1
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","20-07-2026 15:00:00",28.594169,77.1251,CO,37,50,43
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","20-07-2026 15:00:00",28.672342,77.31526,PM10,106,219,146
India,Delhi,Delhi,"Rohini, Delhi - DPCC","20-07-2026 15:00:00",28.732528,77.11992,NH3,4,9,6
India,Delhi,Delhi,"Rohini, Delhi - DPCC","20-07-2026 15:00:00",28.732528,77.11992,CO,44,56,52
India,Delhi,Delhi,"Pusa, Delhi - DPCC","20-07-2026 15:00:00",28.639652,77.146275,NH3,8,17,13
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","20-07-2026 15:00:00",28.636429,77.201067,OZONE,4,184,38
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","20-07-2026 15:00:00",28.4706914,77.1099364,NH3,NA,NA,NA
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","20-07-2026 15:00:00",28.615828,77.271992,PM10,88,168,118
India,Delhi,Delhi,"ITO, Delhi - CPCB","20-07-2026 15:00:00",28.628624,77.24106,PM2.5,57,113,86
India,Delhi,Delhi,"ITO, Delhi - CPCB","20-07-2026 15:00:00",28.628624,77.24106,PM10,84,156,110
India,Delhi,Delhi,"ITO, Delhi - CPCB","20-07-2026 15:00:00",28.628624,77.24106,CO,47,77,64
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","20-07-2026 15:00:00",28.563262,77.186937,NH3,6,6,6
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","20-07-2026 15:00:00",28.5504249,77.2159377,NH3,3,7,4
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","20-07-2026 15:00:00",28.5504249,77.2159377,SO2,18,20,19
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","20-07-2026 15:00:00",28.54246,77.191651,NO2,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC","20-07-2026 15:00:00",28.822836,77.101981,SO2,7,15,10
India,Delhi,Delhi,"DTU, Delhi - CPCB","20-07-2026 15:00:00",28.7500499,77.1112615,PM10,79,179,112
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","20-07-2026 15:00:00",28.60909,77.0325413,SO2,11,16,13
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","20-07-2026 15:00:00",28.695381,77.181665,OZONE,3,9,5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","20-07-2026 15:00:00",28.498571,77.26484,NH3,6,8,7
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","20-07-2026 15:00:00",28.498571,77.26484,SO2,5,7,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","20-07-2026 15:00:00",28.498571,77.26484,OZONE,9,16,12
