country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,O3,PM10,PM25,SO2,hour,day,month,weekday,is_weekend,season,AQI,NO,NOx,Benzene,Toluene,Xylene
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-07-20 15:00:00,22.12665,83.483212,25.0,2.0,16.0,7.0,33.0,7.0,13.0,15,20,7,0,0,Monsoon,33.0,,,,,
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2026-07-20 15:00:00,22.1910172,83.5197009,21.0,2.0,30.0,3.0,37.0,26.0,14.0,15,20,7,0,0,Monsoon,43.333333333333336,,,,,
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2026-07-20 15:00:00,21.258815,81.578979,26.0,4.0,4.0,17.0,21.0,19.0,5.0,15,20,7,0,0,Monsoon,31.666666666666668,,,,,
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-07-20 15:00:00,21.219665,81.630094,18.0,2.0,1.0,2.0,16.0,6.0,3.0,15,20,7,0,0,Monsoon,16.0,,,,,
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2026-07-20 15:00:00,21.237755,81.705301,9.0,2.0,4.0,2.0,18.0,15.0,6.0,15,20,7,0,0,Monsoon,25.0,,,,,
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-07-20 15:00:00,22.06631475,83.33820077,17.0,2.0,6.0,27.0,57.0,52.0,5.0,15,20,7,0,0,Monsoon,86.66666666666666,,,,,
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-07-20 15:00:00,28.815329,77.15301,33.0,15.0,46.0,6.0,137.0,110.0,7.0,15,20,7,0,0,Monsoon,266.6666666666667,,,,,
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-07-20 15:00:00,28.647622,77.315809,59.0,11.0,32.0,6.0,178.0,158.0,13.0,15,20,7,0,0,Monsoon,329.2307692307692,,,,,
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-07-20 15:00:00,28.695381,77.181665,62.0,7.0,21.0,5.0,148.0,89.0,7.0,15,20,7,0,0,Monsoon,196.66666666666669,,,,,
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-07-20 15:00:00,28.4706914,77.1099364,39.0,0.0,23.0,13.0,119.0,88.0,0.0,15,20,7,0,0,Monsoon,193.33333333333331,,,,,
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-07-20 15:00:00,28.7256504,77.2011573,85.0,0.0,20.0,30.0,109.0,69.0,0.0,15,20,7,0,0,Monsoon,130.0,,,,,
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-07-20 15:00:00,28.5512005,77.2735737,56.0,0.0,29.0,12.0,127.0,71.0,0.0,15,20,7,0,0,Monsoon,136.66666666666666,,,,,
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-07-20 15:00:00,28.594169,77.1251,43.0,2.0,11.0,9.0,102.0,36.0,1.0,15,20,7,0,0,Monsoon,101.33333333333333,,,,,
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-07-20 15:00:00,28.656756,77.227234,73.0,6.0,37.0,32.0,108.0,120.0,12.0,15,20,7,0,0,Monsoon,300.0,,,,,
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2026-07-20 15:00:00,28.615828,77.271992,46.0,0.0,6.0,18.0,118.0,90.0,5.0,15,20,7,0,0,Monsoon,200.0,,,,,
India,Delhi,Delhi,"DTU, Delhi - CPCB",2026-07-20 15:00:00,28.7500499,77.1112615,24.0,8.0,21.0,27.0,112.0,82.0,24.0,15,20,7,0,0,Monsoon,173.33333333333331,,,,,
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-07-20 15:00:00,28.498571,77.26484,31.0,7.0,18.0,12.0,113.0,66.0,6.0,15,20,7,0,0,Monsoon,120.0,,,,,
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-07-20 15:00:00,28.5710274,77.0719006,63.0,10.0,42.0,8.0,170.0,67.0,11.0,15,20,7,0,0,Monsoon,146.66666666666666,,,,,
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",2026-07-20 15:00:00,28.5627763,77.1180053,74.0,0.0,95.0,47.0,134.0,67.0,0.0,15,20,7,0,0,Monsoon,123.33333333333333,,,,,
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",2026-07-20 15:00:00,28.493624,77.201159,36.0,5.0,14.0,7.0,106.0,36.0,3.0,15,20,7,0,0,Monsoon,104.0,,,,,
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026-07-20 15:00:00,28.6811736,77.3025234,72.0,6.0,12.0,27.0,119.0,92.0,18.0,15,20,7,0,0,Monsoon,206.66666666666666,,,,,
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",2026-07-20 15:00:00,28.54246,77.191651,36.0,0.0,0.0,24.0,159.0,82.0,0.0,15,20,7,0,0,Monsoon,173.33333333333331,,,,,
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",2026-07-20 15:00:00,28.5918245,77.2273074,20.0,0.0,9.0,10.0,130.0,90.0,0.0,15,20,7,0,0,Monsoon,200.0,,,,,
India,Delhi,Delhi,"ITO, Delhi - CPCB",2026-07-20 15:00:00,28.628624,77.24106,64.0,4.0,59.0,39.0,110.0,86.0,22.0,15,20,7,0,0,Monsoon,186.66666666666669,,,,,
India,Delhi,Delhi,"JNU, Delhi - DPCC",2026-07-20 15:00:00,28.540721,77.168544,32.0,6.0,17.0,19.0,109.0,78.0,1.0,15,20,7,0,0,Monsoon,160.0,,,,,
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-07-20 15:00:00,28.73282,77.170633,49.0,12.0,24.0,8.0,166.0,155.0,11.0,15,20,7,0,0,Monsoon,326.9230769230769,,,,,
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-07-20 15:00:00,28.58028,77.233829,59.0,17.0,12.0,25.0,122.0,76.0,12.0,15,20,7,0,0,Monsoon,153.33333333333334,,,,,
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-07-20 15:00:00,28.611281,77.237738,36.0,9.0,27.0,12.0,107.0,52.0,1.0,15,20,7,0,0,Monsoon,104.66666666666667,,,,,
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-07-20 15:00:00,28.636429,77.201067,59.0,12.0,48.0,38.0,133.0,58.0,24.0,15,20,7,0,0,Monsoon,122.0,,,,,
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2026-07-20 15:00:00,28.684678,77.076574,48.0,9.0,78.0,4.0,146.0,73.0,2.0,15,20,7,0,0,Monsoon,143.33333333333334,,,,,
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-07-20 15:00:00,28.60909,77.0325413,53.0,7.0,52.0,89.0,87.0,121.0,13.0,15,20,7,0,0,Monsoon,300.7692307692308,,,,,
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-07-20 15:00:00,28.594004,76.909423,55.0,5.0,17.0,26.0,112.0,74.0,5.0,15,20,7,0,0,Monsoon,146.66666666666666,,,,,
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-07-20 15:00:00,28.570173,76.933762,36.0,9.0,22.0,11.0,95.0,58.0,14.0,15,20,7,0,0,Monsoon,96.66666666666666,,,,,
India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-07-20 15:00:00,28.822836,77.101981,42.0,9.0,15.0,13.0,142.0,94.0,10.0,15,20,7,0,0,Monsoon,213.33333333333334,,,,,
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-07-20 15:00:00,28.56789,77.250515,9.0,10.0,29.0,7.0,142.0,95.0,8.0,15,20,7,0,0,Monsoon,216.66666666666666,,,,,
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM",2026-07-20 15:00:00,28.6573814,77.1585447,96.0,0.0,72.0,26.0,120.0,81.0,0.0,15,20,7,0,0,Monsoon,170.0,,,,,
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-07-20 15:00:00,28.530785,77.271255,31.0,1.0,21.0,2.0,116.0,70.0,14.0,15,20,7,0,0,Monsoon,133.33333333333334,,,,,
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2026-07-20 15:00:00,28.623763,77.287209,44.0,12.0,22.0,3.0,140.0,83.0,3.0,15,20,7,0,0,Monsoon,176.66666666666669,,,,,
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-07-20 15:00:00,28.674045,77.131023,66.0,5.0,24.0,17.0,131.0,100.0,43.0,15,20,7,0,0,Monsoon,233.33333333333334,,,,,
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2026-07-20 15:00:00,28.639652,77.146275,64.0,13.0,30.0,4.0,0.0,79.0,7.0,15,20,7,0,0,Monsoon,163.33333333333334,,,,,
India,Delhi,Delhi,"Pusa, Delhi - IITM",2026-07-20 15:00:00,28.63611,77.173332,44.0,0.0,68.0,49.0,108.0,72.0,0.0,15,20,7,0,0,Monsoon,140.0,,,,,
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-07-20 15:00:00,28.563262,77.186937,40.0,6.0,28.0,8.0,123.0,76.0,30.0,15,20,7,0,0,Monsoon,153.33333333333334,,,,,
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-07-20 15:00:00,28.732528,77.11992,52.0,6.0,30.0,3.0,148.0,84.0,8.0,15,20,7,0,0,Monsoon,180.0,,,,,
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-07-20 15:00:00,28.6514781,77.1473105,54.0,8.0,39.0,54.0,97.0,114.0,13.0,15,20,7,0,0,Monsoon,280.0,,,,,
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2026-07-20 15:00:00,28.5504249,77.2159377,25.0,4.0,35.0,17.0,122.0,114.0,19.0,15,20,7,0,0,Monsoon,280.0,,,,,
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-07-20 15:00:00,28.710508,77.249485,59.0,17.0,11.0,12.0,147.0,129.0,6.0,15,20,7,0,0,Monsoon,306.9230769230769,,,,,
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2026-07-20 15:00:00,28.531346,77.190156,51.0,3.0,26.0,12.0,118.0,70.0,8.0,15,20,7,0,0,Monsoon,133.33333333333334,,,,,
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",2026-07-20 15:00:00,28.62181,77.1944633,60.0,7.0,27.0,6.0,112.0,92.0,2.0,15,20,7,0,0,Monsoon,206.66666666666666,,,,,
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-07-20 15:00:00,28.672342,77.31526,37.0,12.0,38.0,22.0,146.0,78.0,10.0,15,20,7,0,0,Monsoon,160.0,,,,,
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-07-20 15:00:00,28.699793,77.165453,60.0,5.0,31.0,19.0,199.0,231.0,6.0,15,20,7,0,0,Monsoon,385.38461538461536,,,,,
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2026-07-20 15:00:00,23.107969,72.574648,41.0,5.0,11.0,5.0,65.0,44.0,7.0,15,20,7,0,0,Monsoon,73.33333333333333,,,,,
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2026-07-20 15:00:00,22.977134,72.553024,12.0,8.0,24.0,8.0,61.0,15.0,16.0,15,20,7,0,0,Monsoon,61.0,,,,,
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2026-07-20 15:00:00,23.002657,72.591912,46.0,0.0,34.0,28.0,80.0,55.0,35.0,15,20,7,0,0,Monsoon,91.66666666666666,,,,,
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",2026-07-20 15:00:00,23.020509,72.579261,38.0,2.0,12.0,5.0,63.0,31.0,4.0,15,20,7,0,0,Monsoon,63.0,,,,,
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2026-07-20 15:00:00,23.016834,72.625775,46.0,4.0,8.0,5.0,56.0,28.0,17.0,15,20,7,0,0,Monsoon,56.0,,,,,
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2026-07-20 15:00:00,23.041137,72.456691,7.0,2.0,4.0,10.0,46.0,39.0,1.0,15,20,7,0,0,Monsoon,65.0,,,,,
